artist,title,pop_date,pop_peakPos,pop_lastPos,pop_weeks,pop_rank,pop_change,rnb_date,rnb_peakPos,rnb_lastPos,rnb_weeks,rnb_rank,rnb_change
Bow Wow Featuring Ciara,Like You,1/14/06,9,36,18,38,-2,1/21/06,1,34,27,46,-12
Waka Flocka Flame,No Hands,3/19/11,28,33,10,36,-3,10/15/11,2,47,60,47,0
Christina Aguilera,What A Girl Wants,5/20/00,1,26,26,30,-4,9/27/03,47,49,7,47,2
David Banner,Play,11/12/05,37,37,4,38,-1,12/24/05,5,46,26,50,-4
Aaliyah,Back,9/24/94,16,31,15,36,-5,10/29/94,1,38,27,46,-8
Gwen Stefani,Cool,11/19/05,10,37,19,40,-3,9/26/09,19,43,61,47,-4
Nick Jonas,Levels,11/21/15,33,25,11,33,-8,10/5/13,43,49,5,49,0
P. Diddy Featuring Usher & Loon,I Need A Girl (Part One),9/14/02,2,36,21,40,-4,8/17/02,2,39,25,46,-7
Fabolous,Young'n (Holla Back),4/20/02,31,31,6,37,-6,4/27/02,17,43,26,45,-2
Adina Howard,Freak Like Me,9/2/95,20,38,18,40,-2,8/12/95,2,39,28,45,-6
City High,What Would You Do?,11/17/01,2,34,24,37,-3,8/16/03,14,44,27,44,0
Brandy,Full Moon,8/3/02,20,20,10,33,-13,8/31/02,16,47,20,48,-1
Ludacris Co-Starring T-Pain,One More Drink,2/21/09,29,32,8,37,-5,3/7/09,15,43,20,49,-6
Robin Thicke Featuring Nicki Minaj,Back Together,10/17/15,28,31,5,36,-5,9/5/15,41,41,2,46,-5
Portrait,Here We Go Again!,4/24/93,12,31,13,37,-6,4/24/93,3,41,30,46,-5
Tevin Campbell,Can We Talk,3/5/94,14,34,18,39,-5,4/30/94,1,40,30,46,-6
Iggy Azalea Featuring Rita Ora,Black Widow,12/13/14,1,14,22,15,-1,1/10/15,1,11,27,10,1
'N Sync,Gone,3/2/02,7,33,26,35,-2,10/19/13,14,0,1,6,Hot Shot Debut
Adele,Hello,3/19/16,19,18,20,18,0,7/22/00,50,50,14,50,0
Bon Jovi,Always,4/1/95,8,15,26,17,-2,7/10/10,44,44,12,47,-3
Maroon5,Sunday Morning,4/16/05,35,39,18,39,0,11/13/93,20,32,18,49,-17
Chris Brown & Tyga,Ayo,5/9/15,26,28,9,35,-7,7/18/15,7,24,26,23,1
Ben Rector,Brand New,8/27/16,27,33,11,40,-7,3/22/14,40,0,1,40,New
Mario Winans Featuring Enya & P. Diddy,I Don't Wanna Know,10/2/04,4,36,26,40,-4,8/21/04,41,41,28,41,0
Whitney Houston & CeCe Winans,Count On Me,6/1/96,32,38,6,39,-1,3/7/92,48,48,7,49,-1
En Vogue,Free Your Mind,12/19/92,13,33,12,34,-1,10/31/92,23,23,19,34,-11
Soulja Boy Tell 'em Featuring Sammie,Kiss Me Thru The Phone,7/11/09,5,29,20,26,3,6/20/09,4,43,24,41,2
Beyonce Featuring Slim Thug,Check On It,5/20/06,1,16,27,20,-4,5/20/06,3,44,25,50,-6
Demi Lovato,Confident,3/5/16,9,30,20,34,-4,5/17/14,13,42,16,47,-5
Karmin,I Want It All,4/5/14,39,0,2,40,Re-Entry,12/25/99,11,40,20,47,-7
Jade,Don t Walk Away,8/14/93,5,27,26,30,-3,7/24/93,2,33,37,43,-10
B2K & P. Diddy,"Bump, Bump, Bump",5/31/03,3,33,23,36,-3,3/29/03,40,41,20,46,-5
Lorde,Green Light,3/18/17,26,0,1,30,New,4/18/09,6,46,33,48,-2
Tag Team,Whoomp! (There It Is),9/4/93,38,38,3,38,0,1/29/94,1,46,37,45,1
Usher Featuring will.i.am,OMG,9/11/10,2,18,21,19,-1,10/9/10,3,40,24,38,2
Nas,I Can,6/7/03,27,27,7,38,-11,6/28/03,7,36,26,45,-9
Rihanna Featuring David Guetta,Right Now,9/7/13,30,26,12,37,-11,1/16/93,1,44,22,49,-5
Jason Derulo Featuring Snoop Dogg,Wiggle,8/30/14,10,36,14,38,-2,11/1/14,2,19,26,21,-2
The Brand New Heavies,Dream On Dreamer,5/28/94,25,34,9,40,-6,6/11/94,19,38,20,48,-10
Will Smith,Gettin' Jiggy Wit It,4/11/98,9,10,29,9,1,4/11/98,6,32,20,39,-7
Deborah Cox,Who Do U Love,5/18/96,28,33,11,39,-6,6/8/96,12,42,20,49,-7
Usher,Nice,7/11/98,22,39,18,39,0,9/5/98,9,47,33,46,1
Akon Featuring Eminem,Smack That,2/17/07,4,12,20,16,-4,2/3/07,34,55,19,42,13
Pink,There You Go,10/7/00,2,25,26,25,0,5/27/00,15,48,20,49,-1
J-Kwon,Tipsy,9/4/04,8,34,26,36,-2,8/14/04,2,50,36,49,1
Nelly Featuring City Spud,Ride Wit Me,9/8/01,3,22,26,23,-1,6/9/01,34,40,18,49,-9
September,Cry For You,10/25/08,29,30,11,36,-6,5/7/94,1,41,24,45,-4
Eminem,Beautiful,7/18/09,35,35,3,38,-3,3/29/14,43,0,1,36,Hot Shot Debut
TLC,Unpretty,1/22/00,3,18,30,19,-1,12/4/99,4,30,20,49,-19
Az Yet Featuring Peter Cetera,Hard To Say I'm Sorry,10/11/97,14,33,26,36,-3,6/21/97,20,35,20,39,-4
Usher,Confessions Part II,10/2/04,7,30,18,35,-5,11/6/04,1,42,31,49,-7
Cam'ron Featuring Juelz Santana,Oh Boy,8/17/02,24,25,7,38,-13,10/12/02,1,32,32,44,-12
Nelly Furtado,Do It,9/22/07,28,28,6,30,-2,9/29/12,48,49,19,49,0
Drake Featuring Rihanna,Too Good,11/12/16,9,23,20,24,-1,11/12/16,3,10,26,12,-2
Madonna,Music,2/3/01,2,29,26,31,-2,10/27/01,2,36,24,44,-8
The 1975,Chocolate,3/22/14,25,29,11,39,-10,11/12/94,44,46,13,46,0
Fefe Dobson,Take Me Away,12/20/03,25,27,8,31,-4,4/30/11,27,45,12,47,-2
Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,7/29/06,9,34,19,38,-4,6/10/06,7,37,23,41,-4
Toni Braxton,You Mean The World To Me,10/15/94,4,31,26,34,-3,9/10/94,3,49,26,49,0
Jay-Z + Alicia Keys,Empire State Of Mind,3/20/10,5,24,20,28,-4,3/27/10,1,46,28,50,-4
Trey Songz Featuring Nicki Minaj,"Touchin, Lovin",12/20/14,37,39,5,39,0,1/10/15,12,16,26,19,-3
Diddy Featuring Christina Aguilera,Tell Me,5/26/07,34,37,18,40,-3,1/20/07,38,49,13,41,8
Jennifer Lopez Featuring LL Cool J,All I Have,6/21/03,1,35,26,39,-4,5/3/03,4,33,21,44,-11
Jennifer Lopez,If You Had My Love,11/13/99,2,26,26,28,-2,8/21/99,6,39,20,48,-9
Kelis Featuring Too $hort,Bossy,10/7/06,20,30,12,40,-10,9/30/06,11,38,23,46,-8
Janet,Doesn t Really Matter,12/2/00,3,32,22,36,-4,11/4/00,3,38,22,46,-8
Boyz II Men,"End Of The Road (From Boomerang"")""",3/6/93,1,36,23,38,-2,1/16/93,1,48,27,45,3
Jay Z  Kanye West,Ni**as in Paris,4/7/12,17,29,20,35,-6,6/23/12,1,46,45,44,2
Travi$ Scott,Antidote,3/5/16,25,26,9,38,-12,3/12/16,7,12,26,16,-4
Mya,Case Of The Ex (Whatcha Gonna Do),3/31/01,3,24,26,31,-7,1/27/01,10,48,29,49,-1
"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",Down 4 U,10/12/02,22,27,8,37,-10,10/19/02,3,32,23,50,-18
Kid Ink Featuring Chris Brown,Show Me,5/31/14,21,33,18,39,-6,6/14/14,44,10,33,10,0
Yung Berg Featuring Junior,Sexy Lady,10/20/07,23,30,15,36,-6,10/6/07,16,37,23,47,-10
Chris Brown,Yo (Excuse Me Miss),5/27/06,13,32,15,35,-3,6/17/06,2,42,27,49,-7
J. Holiday,Bed,1/19/08,21,37,14,37,0,3/1/08,1,38,36,42,-4
Shakespear s Sister,I Don t Care,1/30/93,33,33,7,36,-3,10/28/00,24,42,33,47,-5
Robin Thicke,Lost Without U,5/12/07,27,27,6,30,-3,12/1/07,1,48,56,48,0
BLACKstreet (Featuring Dr. Dre),No Diggity,5/17/97,10,23,26,27,-4,3/22/97,1,41,24,45,-4
Cause,It s Over Now,8/20/94,36,36,4,39,-3,7/10/99,20,40,20,50,-10
Janet Jackson,Because Of Love,6/11/94,4,29,20,40,-11,5/7/94,9,54,20,48,6
Mariah Carey,I'll Be Lovin' U Long Time,9/13/08,27,27,7,36,-9,9/6/08,36,41,9,45,-4
Lady Antebellum,Just A Kiss,2/4/12,21,36,16,39,-3,10/10/09,36,36,17,45,-9
Salt-N-Pepa,Shoop,4/9/94,15,30,18,37,-7,3/12/94,3,34,24,40,-6
Jason Derulo,What If,12/18/10,26,26,8,32,-6,6/26/04,47,54,10,47,7
Kandi,Don t Think I m Not,12/16/00,13,16,14,13,3,10/14/00,32,50,15,48,2
Robyn,Show Me Love,4/11/98,5,18,29,19,-1,1/10/98,44,46,19,49,-3
Nappy Roots Featuring Anthony Hamilton,Po' Folks,12/28/02,25,35,10,39,-4,12/28/02,13,41,28,50,-9
Ariana Grande,Into You,11/19/16,15,27,20,26,1,11/15/03,6,26,26,37,-11
Beenie Man Featuring Ms. Thing,Dude,8/7/04,34,34,4,39,-5,8/7/04,16,40,33,37,3
Zara Larsson Featuring Ty Dolla $ign,So Good,3/18/17,39,0,1,40,New,2/21/98,49,39,20,43,-4
Fabolous Featuring Jermaine Dupri,Baby Don't Go,12/29/07,33,35,6,35,0,12/15/07,23,45,18,50,-5
Nelly Featuring Kelly Rowland,Dilemma,1/11/03,1,28,26,24,4,2/8/03,1,44,32,49,-5
Ciara Featuring Petey Pablo,Goodies,2/19/05,3,30,26,33,-3,2/19/05,1,46,36,46,0
Gnarls Barkley,Crazy,11/4/06,39,26,20,25,1,10/11/03,42,54,18,50,4
Monica,The First Night,12/19/98,24,33,12,33,0,2/6/99,1,43,26,50,-7
Puff Daddy,I ll Be Missing You,8/9/97,13,18,26,13,5,8/9/97,1,1,33,3,-2
Justin Timberlake,Drink You Away,3/5/16,32,36,6,40,-4,12/5/15,17,17,4,34,-17
Jennifer Lopez Featuring Ja Rule,I'm Real,1/26/02,5,17,28,18,-1,12/22/01,45,39,27,46,-7
All Star Tribute,What's Going On,11/17/01,24,29,6,40,-11,12/15/12,35,0,1,35,New
Eminem Featuring Rihanna,The Monster,3/29/14,1,16,20,17,-1,5/10/14,1,9,26,10,-1
Major Lazer Featuring Ellie Goulding & Tarrus Riley,Powerful,11/14/15,22,24,7,36,-12,12/19/15,36,0,1,36,New
Iyaz,Solo,6/5/10,19,27,14,40,-13,9/10/16,38,0,1,38,New
Missy Elliott Featuring Ciara & Fat Man Scoop,Lose Control,11/26/05,6,27,22,30,-3,2/21/15,6,0,26,17,Re-Entry
Destiny s Child,Say My Name,8/12/00,19,29,26,30,-1,7/29/00,22,48,35,50,-2
Brandy,What About Us?,4/20/02,17,17,11,32,-15,5/11/02,3,45,17,49,-4
R. Kelly,I Wish,3/24/01,34,35,4,37,-2,3/10/01,33,44,26,47,-3
Lloyd Featuring Ashanti,Southside,9/25/04,33,33,3,34,-1,9/11/04,13,32,20,44,-12
Rita Ora Featuring Tinie Tempah,R.I.P.,11/24/12,28,29,9,31,-2,6/29/13,17,38,19,43,-5
Chris Brown Featuring Usher & Rick Ross,New Flame,1/17/15,29,39,10,39,0,1/10/15,6,18,26,17,1
Rihanna & Kanye West & Paul McCartney,FourFiveSeconds,5/30/15,37,35,17,38,-3,7/4/15,12,24,22,23,1
One Block Radius,You Got Me,9/27/08,30,33,7,35,-2,12/26/15,45,0,1,45,New
Shanice,"Saving Forever For You (From Beverly Hills, 90210"")""",4/24/93,6,33,20,33,0,2/27/93,20,50,20,48,2
Train,If It's Love,12/18/10,19,35,20,39,-4,2/25/12,24,40,49,50,-10
Destiny's Child,Survivor,7/21/01,2,35,18,39,-4,6/30/01,6,36,16,41,-5
Drop City Yacht Club Featuring Jeremih,Crickets,6/22/13,36,36,6,38,-2,6/29/13,36,36,12,41,-5
Sammy Adams,Only One,8/11/12,33,34,8,38,-4,3/28/15,11,34,11,49,-15
T-Pain Featuring Yung Joc,Buy U A Drank (Shawty Snappin'),10/20/07,4,19,25,20,-1,11/10/07,1,42,39,44,-2
Chingy,Balla Baby,1/29/05,23,33,12,40,-7,12/18/04,17,37,15,39,-2
Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,11/4/06,8,18,20,21,-3,10/28/06,5,27,23,49,-22
Trey Songz,Na Na,8/16/14,28,31,11,39,-8,8/2/14,5,6,26,8,-2
Lil Wayne Featuring Bobby Valentino & Kidd Kidd,Mrs. Officer,1/24/09,34,39,9,40,-1,4/4/09,5,47,38,50,-3
Jesse McCartney,Shake,1/1/11,17,28,12,35,-7,2/4/06,37,37,19,50,-13
Boyz II Men,I'll Make Love To You,2/4/95,15,20,26,26,-6,2/11/95,29,34,27,50,-16
Charlie Puth,One Call Away,4/16/16,11,13,20,19,-6,6/5/04,3,39,22,41,-2
Omarion Featuring Chris Brown & Jhene Aiko,Post To Be,9/12/15,20,30,12,35,-5,9/5/15,5,8,38,9,-1
No Mercy,Please Don t Go,2/22/97,30,35,11,30,5,6/20/92,8,33,17,49,-16
Lupe Fiasco,The Show Goes On,8/20/11,6,11,20,16,-5,5/14/11,45,46,21,49,-3
Snoop Dogg Featuring Pharrell,Drop It Like It's Hot,3/19/05,5,32,18,36,-4,6/25/05,1,43,42,45,-2
Kelly Rowland Featuring Lil Wayne,Motivation,10/15/11,24,27,10,30,-3,3/3/12,1,49,49,49,0
702,Where My Girls At?,1/22/00,10,20,28,20,0,10/30/99,3,39,29,49,-10
Kenny G With Peabo Bryson,By The Time This Night Is Over,7/24/93,29,31,8,33,-2,7/10/93,37,43,13,37,6
Richard Vission & Static Revenger Starring Luciana,I Like That,10/2/10,36,38,4,37,1,9/25/04,14,29,18,47,-18
Rihanna Featuring Jay-Z,Umbrella,9/29/07,2,20,24,19,1,9/15/07,4,37,22,45,-8
Samantha Mumba,Gotta Tell You,3/3/01,5,28,26,28,0,11/18/00,49,58,9,49,9
Nivea Featuring Brian & Brandon Casey,Don't Mess With My Man,5/10/03,4,23,26,32,-9,2/8/03,25,38,32,46,-8
The Weeknd,Can't Feel My Face,11/7/15,1,8,20,15,-7,1/23/16,1,10,28,10,0
TLC,Baby-Baby-Baby,10/24/92,9,18,4,25,-7,11/28/92,1,0,26,49,Re-Entry
K-Ci,Tell Me It s Real,10/9/99,23,40,18,40,0,11/6/99,2,44,25,47,-3
D.R.A.M. Featuring Lil Yachty,Broccoli,1/14/17,22,38,12,39,-1,12/24/16,1,5,26,7,-2
Mya,Fallen,2/14/04,35,35,5,39,-4,1/17/04,35,44,11,45,-1
Jibbs,Chain Hang Low,11/11/06,25,35,9,36,-1,11/18/06,16,28,17,48,-20
Allure Featuring 112,All Cried Out,2/28/98,6,26,26,27,-1,1/24/98,9,36,22,48,-12
Black Eyed Peas Featuring Macy Gray,Request Line,4/28/01,34,38,3,34,4,5/31/97,9,41,20,49,-8
"Shaggy Featuring Ricardo RikRok"" Ducent""",It Wasn't Me,5/5/01,1,31,26,31,0,4/28/01,3,38,26,50,-12
The Chainsmokers Featuring Rozes,Roses,4/16/16,4,11,25,14,-3,7/24/04,12,45,21,44,1
Edwin McCain,I'll Be,11/14/98,11,11,41,15,-4,6/21/97,5,31,20,41,-10
Keri Hilson Featuring Kanye West & Ne-Yo,Knock You Down,10/31/09,3,17,22,19,-2,10/24/09,1,45,30,45,0
Usher,U Remind Me,1/19/02,6,36,25,37,-1,11/24/01,1,49,27,50,-1
Ruff Endz,No More,1/27/01,18,34,19,38,-4,2/10/01,1,44,41,47,-3
Eve Featuring Gwen Stefani,Let Me Blow Ya Mind,12/22/01,1,25,26,28,-3,9/29/01,6,51,29,50,1
Brandy,The Boy Is Mine,11/21/98,4,33,25,40,-7,12/26/98,12,42,31,41,1
Petey Pablo,Freek-A-Leek,9/25/04,17,38,18,39,-1,9/11/04,5,40,39,48,-8
Priory,Weekend,2/28/15,37,40,3,37,3,2/6/16,46,0,1,46,New
Nelly Featuring Jeremih,The Fix,1/23/16,30,30,10,38,-8,2/20/16,20,23,25,25,-2
Sarah Connor,Bounce,5/8/04,11,26,13,32,-6,3/26/16,44,0,1,34,New
T.I. Featuring Justin Timberlake,Dead And Gone,6/6/09,4,17,20,19,-2,6/27/09,2,44,23,49,-5
The Tony Rich Project,Like A Woman,9/14/96,28,30,7,34,-4,8/24/96,42,48,15,48,0
U2,All I Want Is You,9/10/94,38,38,3,40,-2,3/19/11,8,49,35,50,-1
Tyga,Rack City,4/7/12,32,33,5,36,-3,6/2/12,5,43,28,42,1
The Wallflowers,The Difference,10/18/97,19,31,13,35,-4,11/19/16,35,0,1,35,New
"Missy Misdemeanor"" Elliott""",Get Ur Freak On,9/1/01,19,33,10,37,-4,2/21/15,3,0,36,15,Re-Entry
OutKast,Ms. Jackson,5/5/01,13,30,18,33,-3,4/21/01,1,44,26,43,1
Tyrese,How You Gonna Act Like That,6/14/03,22,26,9,39,-13,8/2/03,3,39,38,49,-10
The Weeknd,In The Night,4/9/16,3,20,20,21,-1,4/16/16,3,16,23,18,-2
Wayne Wonder,No Letting Go,9/6/03,10,34,20,38,-4,6/28/03,14,31,37,41,-10
Michael Jackson,You Are Not Alone,11/25/95,4,30,15,39,-9,1/13/96,1,45,20,46,-1
Vertical Horizon,Everything You Want,9/2/00,2,17,36,18,-1,8/9/97,29,37,14,37,0
Maria Mena,You're The Only One,7/10/04,25,25,7,30,-5,2/28/09,17,48,42,50,-2
Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,Run Up,3/18/17,38,0,1,39,New,3/4/17,26,48,3,50,-2
Chris Brown Featuring Lil Wayne & Busta Rhymes,Look At Me Now,7/23/11,29,38,12,38,0,10/8/11,1,50,37,48,2
Calvin Harris,My Way,11/26/16,40,19,9,34,-15,1/2/16,31,17,26,18,-1
The Chainsmokers Featuring Halsey,Closer,3/11/17,20,13,30,15,-2,6/18/11,50,59,8,50,9
50 Cent,In Da Club,8/16/03,1,31,26,33,-2,8/2/03,1,45,32,48,-3
112,Peaches & Cream,11/10/01,16,36,17,39,-3,11/10/01,2,38,34,49,-11
All-4-One,I Can Love You Like That,11/25/95,4,28,26,33,-5,8/26/95,40,51,20,48,3
Crystal Waters,100% Pure Love,2/4/95,7,16,26,16,0,8/13/94,38,38,20,39,-1
The Weeknd,The Hills,1/9/16,2,18,20,19,-1,4/9/16,1,7,44,10,-3
Fat Joe Featuring Ashanti,What's Luv?,9/21/02,3,33,26,33,0,7/20/02,3,40,25,42,-2
Pink,Sober,5/16/09,3,15,22,19,-4,2/21/15,29,38,6,41,-3
Chris Brown Featuring Nicki Minaj,Love More,12/28/13,39,0,1,39,New,2/1/14,7,10,26,13,-3
Jon B. Featuring Babyface,Someone To Love,1/13/96,12,0,23,40,Re-Entry,11/11/95,28,38,29,48,-10
Usher,Scream,9/22/12,20,19,20,22,-3,8/19/95,2,38,14,50,-12
Janet,Feedback,3/1/08,30,30,6,38,-8,4/30/16,39,36,2,46,-10
Trey Songz,Simply Amazing,3/16/13,33,33,3,37,-4,4/13/13,34,44,7,50,-6
Jay-Z,Show Me What You Got,12/9/06,37,37,2,40,-3,1/20/07,3,35,14,35,0
Lloyd,Get It Shawty,8/18/07,26,33,11,38,-5,8/18/07,4,41,23,47,-6
Montell Jordan,This Is How We Do It,10/7/95,11,37,22,38,-1,9/9/95,1,50,31,49,1
Aloe Blacc,The Man,6/7/14,7,30,18,39,-9,7/5/14,4,24,20,26,-2
Big Sean Featuring Nicki Minaj,Dance (A$$),3/3/12,27,28,7,32,-4,5/19/12,12,47,42,50,-3
Nicki Minaj,Right Thru Me,1/22/11,32,32,5,38,-6,2/19/11,4,39,20,42,-3
Usher Featuring Young Jeezy,Love In This Club,7/26/08,2,15,21,17,-2,8/16/08,1,45,26,45,0
OutKast Featuring Killer Mike,The Whole World,5/11/02,23,30,11,40,-10,4/27/02,8,39,21,49,-10
The Nixons,Sister,8/17/96,39,0,3,39,Re-Entry,7/15/06,14,18,16,32,-14
Jay-Z Featuring Amil (Of Major Coinz),Can I Get A...,7/31/99,27,35,16,37,-2,5/1/99,9,42,31,49,-7
Ja Rule Featuring Case,Livin' It Up,4/6/02,8,37,23,36,1,1/26/02,4,37,25,50,-13
Drake Featuring WizKid & Kyla,One Dance,10/1/16,1,12,23,15,-3,12/3/16,1,10,33,10,0
Amine,Caroline,2/25/17,30,34,9,36,-2,2/25/17,21,10,26,10,0
Quietdrive,Time After Time,9/15/07,25,30,12,36,-6,10/24/98,30,40,19,46,-6
Alicia Keys,You Don't Know My Name,2/28/04,31,33,6,36,-3,5/22/04,1,43,30,47,-4
En Vogue,"Too Gone, Too Long",11/8/97,26,26,9,37,-11,12/6/97,25,39,20,49,-10
Beyonce,Best Thing I Never Had,9/17/11,15,29,12,35,-6,12/10/11,4,35,26,46,-11
Field Mob,Sick Of Being Lonely,5/17/03,24,29,6,40,-11,5/10/03,10,41,34,50,-9
I LOVE MAKONNEN Featuring Drake,Tuesday,2/28/15,23,31,12,35,-4,3/14/15,2,16,25,21,-5
"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",Nasty Girl,3/11/06,37,0,1,37,Hot Shot Debut,3/18/06,20,51,16,49,2
Emeli Sande,Next To Me,7/13/13,17,28,19,38,-10,7/27/13,7,20,23,25,-5
Mary J. Blige,Sweet Thing,4/17/93,28,28,8,39,-11,6/19/93,11,48,20,47,1
Enrique Iglesias,Heart Attack,1/4/14,26,33,9,36,-3,12/8/12,3,19,36,22,-3
Silento,Watch Me,10/10/15,18,38,14,38,0,12/19/15,2,5,41,7,-2
Blaque,I Do,6/10/00,39,39,3,40,-1,6/2/12,4,48,27,50,-2
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain,12/10/16,21,37,14,37,0,12/17/16,3,16,20,30,-14
Ja Rule Featuring Ashanti,Mesmerize,6/7/03,3,35,20,39,-4,4/19/03,5,39,18,46,-7
Aaliyah,Try Again,11/4/00,3,30,26,32,-2,9/9/00,4,41,27,47,-6
Flo Rida,I Cry,2/23/13,4,11,20,16,-5,8/4/01,11,37,15,38,-1
New Order,Regret,8/21/93,7,32,14,40,-8,3/6/10,8,48,29,50,-2
Mary J. Blige Featuring Eve,Not Today,1/31/04,35,35,5,38,-3,2/7/04,21,37,12,49,-12
Mary Lambert,Secrets,11/22/14,26,27,8,32,-5,12/31/16,22,31,3,48,-17
T-Pain Featuring Wiz Khalifa & Lily Allen,5 O'Clock,2/18/12,10,29,16,40,-11,2/11/12,9,31,19,42,-11
Macklemore & Ryan Lewis Featuring Mary Lambert,Same Love,11/2/13,5,20,20,23,-3,10/26/13,3,13,42,18,-5
Lloyd Featuring Andre 3000 & Lil Wayne,Dedication To My Ex (Miss That),11/12/11,39,30,7,36,-6,10/22/11,48,44,10,48,-4
Diddy Featuring Keyshia Cole,Last Night,8/4/07,36,36,20,37,-1,6/16/07,7,45,28,50,-5
Bebe Rexha,I Got You,3/18/17,17,17,13,19,-2,10/9/93,35,35,11,36,-1
Boyz II Men,I ll Make Love To You,12/31/94,1,14,26,16,-2,12/31/94,1,23,27,27,-4
Iggy Azalea Featuring Charli XCX,Fancy,8/23/14,1,8,20,10,-2,11/8/14,4,7,34,10,-3
Ciara Featuring Missy Elliott,"1, 2 Step",5/21/05,1,15,26,19,-4,4/30/05,4,39,28,47,-8
Kelis,Milkshake,3/6/04,8,27,13,30,-3,3/20/04,4,47,29,49,-2
Nickelback,Far Away,2/24/07,1,17,30,18,-1,11/12/11,3,46,47,49,-3
Mariah Carey,Don't Forget About Us,3/11/06,3,23,20,26,-3,4/8/06,1,43,25,45,-2
Plies Featuring Ne-Yo,Bust It Baby Part 2,9/20/08,18,38,15,37,1,10/4/08,2,43,30,50,-7
India.Arie,Video,6/8/02,22,31,10,38,-7,7/28/01,45,41,25,46,-5
Toni Braxton,Un-Break My Heart,5/3/97,2,17,26,20,-3,5/3/97,2,42,28,50,-8
Lauryn Hill,Doo Wop (That Thing),5/15/99,29,38,26,39,-1,4/17/99,2,44,24,48,-4
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,Loyal,7/5/14,39,39,3,40,-1,9/6/14,11,8,32,8,0
Lumidee,"Never Leave You - Uh Ooh, Uh Oooh!",11/1/03,15,0,16,40,Re-Entry,9/27/03,9,30,22,42,-12
Chingy,Right Thurr,12/20/03,5,36,23,40,-4,2/14/04,2,48,43,48,0
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,1/28/06,39,0,1,39,New,4/15/06,43,46,38,48,-2
Paul Wall,Girl,7/1/06,27,28,9,38,-10,5/6/06,42,45,9,49,-4
Yung Joc,It's Goin' Down,9/16/06,20,31,13,34,-3,10/14/06,1,42,35,45,-3
Alicia Keys,Karma,7/30/05,3,34,26,38,-4,4/16/05,17,48,23,44,4
Prince,The Most Beautiful Girl In The World,8/27/94,3,37,25,39,-2,8/6/94,2,42,23,46,-4
Pharrell Williams,Come Get It Bae,9/6/14,19,21,13,36,-15,10/11/14,21,0,20,49,Re-Entry
Soulja Boy Tell'em,Crank That (Soulja Boy),1/26/08,25,26,20,32,-6,2/16/08,4,47,34,49,-2
Monica,Don't Take It Personal (Just One Of Dem Days),11/4/95,23,29,16,38,-9,10/28/95,1,38,28,42,-4
Fun Factory,Close To You,5/27/95,40,0,1,40,Hot Shot Debut,5/1/10,21,48,44,49,-1
Justin Bieber,Somebody To Love,8/14/10,20,27,14,40,-13,11/14/98,43,47,15,43,4
Timbaland Featuring Nelly Furtado & Justin Timberlake,Give It To Me,8/4/07,3,13,25,16,-3,5/5/07,38,38,11,40,-2
Blessid Union Of Souls,I Believe,8/19/95,2,23,26,27,-4,8/14/04,15,44,7,45,-1
Mary J. Blige,Family Affair,3/30/02,1,22,26,23,-1,4/6/02,1,50,38,50,0
B.o.B Featuring Bruno Mars,Nothin' On You,7/31/10,1,18,22,18,0,8/28/10,5,37,30,40,-3
"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,5/20/06,7,29,20,29,0,5/20/06,2,48,29,47,1
Beyonce,XO,3/1/14,18,29,8,40,-11,5/3/14,19,47,18,50,-3
R. Kelly,Gotham City,8/16/97,21,27,8,38,-11,11/1/97,9,42,20,45,-3
Lil Jon & The East Side Boyz Featuring Usher & Ludacris,Lovers And Friends,4/23/05,10,35,17,38,-3,5/21/05,2,33,26,36,-3
T-Pain,I'm Sprung,2/18/06,14,32,15,35,-3,2/11/06,9,46,26,41,5
Ariana Grande Featuring Future,Everyday,3/18/17,38,22,5,20,2,8/15/15,31,41,8,49,-8
Sean Paul,So Fine,9/19/09,24,27,10,35,-8,5/13/95,29,46,20,48,-2
Fabolous Featuring Ne-Yo,Make Me Better,10/27/07,14,27,13,35,-8,12/15/07,2,47,34,47,0
Christina Milian,Dip It Low,10/30/04,2,23,26,25,-2,10/9/04,16,34,30,45,-11
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",I'm On One,10/15/11,35,35,4,39,-4,2/4/12,1,45,37,49,-4
Pharrell Featuring Jay-Z,Frontin',10/25/03,29,29,5,29,0,12/27/03,1,41,33,47,-6
Da Brat Featuring Cherish,In Love Wit Chu,8/9/03,32,33,6,36,-3,6/28/03,32,39,14,44,-5
Akon Featuring Snoop Dogg,I Wanna Love You,3/31/07,3,19,20,23,-4,4/21/07,3,49,30,49,0
Jesse McCartney Featuring T-Pain,Body Language,12/26/09,23,30,10,36,-6,2/7/15,21,23,20,24,-1
